dataset: 705 bots, 96 with a signatureAgentUrl
origin                                                             status keys gateway
https://crawler.prod.quartr.cloud/.well-known/http-message-signatures-directory    err    - -
https://bot-auth.production.raptive.com/.well-known/http-message-signatures-directory    200    1 ok
https://bot.redactus.co.uk/.well-known/http-message-signatures-directory    200    1 ok
https://redirect.pizza/.well-known/http-message-signatures-directory    200    1 ok
https://rye.xyz/.well-known/http-message-signatures-directory         200    1 ok
https://scientific-advisor.com/.well-known/http-message-signatures-directory    200    1 ok
https://www.sourcedashboard.co.uk/.well-known/http-message-signatures-directory    err    - -
https://www.spyglasses.io/.well-known/http-message-signatures-directory    200    1 ok
https://signatures.cardsavr.io/.well-known/http-message-signatures-directory    200    2 ok
https://diamonds.tno.nl/.well-known/http-message-signatures-directory    200    1 ok
https://vagent.trustlink360.com/.well-known/http-message-signatures-directory    200    1 ok
https://signature-agents.twin.so/.well-known/http-message-signatures-directory    err    - -
https://www.urlert.com/.well-known/http-message-signatures-directory    200    1 ok
https://visually.io/.well-known/http-message-signatures-directory     200    1 ok
https://windowsforum.com/.well-known/http-message-signatures-directory/index.json    200    1 ok
https://ecp.yusercontent.com/.well-known/http-message-signatures-directory    200    1 ok
https://bot-signature.gregoryscottdev.com/.well-known/http-message-signatures-directory    200    1 ok
https://you.com/.well-known/http-message-signatures-directory         200    1 ok
https://app.zipchat.ai/.well-known/http-message-signatures-directory    200    1 ok
https://fetch-bot.zvelo.io/.well-known/http-message-signatures-directory    200    1 ok

88 of 96 directories load under production rules; 101 usable Ed25519 keys
written to evidence/signed_agents_survey.json
